# http://www.us.schott.com/advanced_optics/english/download/schott_optical_glass_catalogue_excel_december_2011.xls
#Name	B1	B2	B3	C1	C2	C3
N-BAK4	1.28834642E+00	1.32817724E-01	9.45395373E-01	7.79980626E-03	3.15631177E-02	1.05965875E+02
N-BALF4	1.31004128E+00	1.42038259E-01	9.64929351E-01	7.96596450E-03	3.30672072E-02	1.09197320E+02
N-BALF5	1.28385965E+00	7.19300942E-02	1.05048927E+00	8.25815975E-03	4.41920027E-02	1.07097324E+02
N-BASF2	1.53652081E+00	1.56971102E-01	1.30196815E+00	1.08435729E-02	5.62278762E-02	1.31339700E+02
N-BASF64	1.65554268E+00	1.71319770E-01	1.33664448E+00	1.04485644E-02	4.99394756E-02	1.18961472E+02
N-BK10	8.88308131E-01	3.28964475E-01	9.84610769E-01	5.16900822E-03	1.61190045E-02	9.97575331E+01
N-BK7	1.03961212E+00	2.31792344E-01	1.01046945E+00	6.00069867E-03	2.00179144E-02	1.03560653E+02
N-BK7HT	1.03961212E+00	2.31792344E-01	1.01046945E+00	6.00069867E-03	2.00179144E-02	1.03560653E+02
N-F2	1.39757037E+00	1.59201403E-01	1.26865430E+00	9.95906143E-03	5.46931752E-02	1.19248346E+02
N-FK5	8.44309338E-01	3.44147824E-01	9.10790213E-01	4.75111955E-03	1.49814849E-02	9.78600293E+01
N-FK51A	9.71247817E-01	2.16901417E-01	9.04651666E-01	4.72301995E-03	1.53575612E-02	1.68681330E+02
N-K5	1.08511833E+00	1.99562005E-01	9.30511663E-01	6.61099503E-03	2.41108660E-02	1.11982777E+02
N-KF9	1.19286778E+00	8.93346571E-02	9.20819805E-01	8.39154696E-03	4.04010786E-02	1.12572446E+02
N-KZFS11	1.33222450E+00	2.89241610E-01	1.15161734E+00	8.40298480E-03	3.44239720E-02	8.84310532E+01
N-KZFS2	1.23697554E+00	1.53569376E-01	9.03976272E-01	7.47170505E-03	3.08053556E-02	7.01731084E+01
N-KZFS4	1.35055424E+00	1.97575506E-01	1.09962992E+00	8.76282070E-03	3.71767201E-02	9.03866994E+01
N-KZFS5	1.47460789E+00	1.93584488E-01	1.26589974E+00	9.86143816E-03	4.45477583E-02	1.06436258E+02
N-KZFS8	1.62693651E+00	2.43698760E-01	1.62007141E+00	1.08808630E-02	4.94207753E-02	1.31009163E+02
N-LAF2	1.80984227E+00	1.57295550E-01	1.09300370E+00	1.01711622E-02	4.42431765E-02	1.00687748E+02
N-LAF21	1.87134529E+00	2.50783010E-01	1.22048639E+00	9.33322280E-03	3.45637762E-02	8.32404866E+01
N-LAF33	1.79653417E+00	3.11577903E-01	1.15981863E+00	9.27313493E-03	3.58201181E-02	8.73448712E+01
N-LAF34	1.75836958E+00	3.13537785E-01	1.18925231E+00	8.72810026E-03	2.93020832E-02	8.51780644E+01
N-LAF35	1.51697436E+00	4.55875464E-01	1.07469242E+00	7.50943203E-03	2.60046715E-02	8.05945159E+01
N-LAF36	1.85744228E+00	2.94098729E-01	1.16615417E+00	9.82397191E-03	3.84309138E-02	8.93984634E+01
N-LAF7	1.74028764E+00	2.26710554E-01	1.32525548E+00	1.07925580E-02	5.38626639E-02	1.06268665E+02
N-LAK10	1.72878017E+00	1.69257825E-01	1.19386956E+00	8.86014635E-03	3.63416509E-02	8.29009069E+01
